ra,dec,known_id,tile,label
168.28313,76.92422,1113080+765528,076_334,0.791666666666667
131.6822,73.011734,0846438+730048,077_326,0.5
132.38374,73.13427,0849319+730805,077_326,0.708333333333333
108.237114,68.365135,0712567+682155,079_317,0.0416666666666667
151.78276,75.075005,1007078+750427,079_330,0.833333333333333
216.97614,79.30618,1427541+791822,079_339,0.833333333333333
109.45475,68.318756,071749+681907,080_317,1.0
109.47554,68.35146,071754+682104,080_317,0.916666666666667
109.34986877441406,68.29761505126953,071724+681749,080_317,0.0
200.45428,78.50799,1321487+783028,080_337,0.708333333333333
109.43177,68.2266,071743+681336,082_316,1.0
182.94046,76.75345,121145+764512,082_334,1.0
196.88928,78.09199,1307333+780532,082_336,0.625
159.74934,75.02684,1038596+750137,083_330,0.833333333333333
216.9482,78.895676,1427478+785346,083_338,0.666666666666667
152.58736,74.08451,1010209+740504,084_328,0.875
185.75197,77.24432,122300+771439,084_334,0.875
138.83559,72.03246,0915204+720157,086_324,1.0
147.05066,72.909035,0948120+725434,086_326,1.0
184.84348,76.48088,121922+762850,086_333,1.0
124.15613,69.34572,0816375+692046,087_319,0.916666666666667
149.48645,72.774445,0957566+724628,087_326,1.0
152.49228,73.4742,1009582+732826,087_327,0.916666666666667
153.86665,73.57192,1015283+733419,087_327,1.0
217.07043,78.34568,1428167+782045,087_337,0.291666666666667
149.77376,73.0911,0959045+730523,088_326,0.875
154.50484,73.46346,101801+732748,088_327,0.833333333333333
154.10378,73.45986,101624+732735,088_327,1.0
154.54282,73.47381,1018101+732825,088_327,0.791666666666667
155.35999,73.47753,102127+732838,088_327,1.0
154.18852,73.48387,101645+732902,088_327,0.875
182.78728,76.17868,121110+761039,088_332,0.0416666666666667
188.59818,76.72468,123423+764330,088_333,0.958333333333333
148.8032,72.288765,095512+721719,089_325,1.0
148.44029,72.32214,095345+721919,089_325,1.0
149.15727,72.4382,095637+722617,090_325,0.0416666666666667
185.55829,75.9473,122213+755649,090_332,0.916666666666667
185.69002,76.01853,122245+760106,090_332,1.0
185.02249,76.06951,1220053+760411,090_332,0.916666666666667
185.49712,75.93106,122159+755551,090_332,0.958333333333333
186.24324,76.010956,1224584+760039,090_332,0.916666666666667
185.8051,76.10144,122313+760605,090_332,1.0
188.81783,75.8938,1235163+755338,091_332,0.666666666666667
187.50427,75.86421,123001+755150,091_332,1.0
188.72124,75.79233,1234530+754731,091_332,0.0833333333333333
131.32153,69.29551,0845173+691744,092_319,0.5
144.8163,71.311066,0939160+711841,092_323,0.458333333333333
148.63766,71.99249,0954329+715933,092_324,0.958333333333333
184.45107,75.511406,1217483+753043,092_331,0.458333333333333
184.66078,75.38632,1218387+752311,092_331,1.0
146.14731,71.480896,094436+712846,093_323,0.916666666666667
150.17294,71.92562,1000414+715533,093_324,0.666666666666667
150.82542,72.15225,100318+720907,093_324,1.0
184.99689,75.70999,121959+754236,093_331,0.875
184.90565,75.731606,121937+754352,093_331,0.75
185.3272,75.701645,122118+754205,093_331,1.0
184.8418,75.63693,121922+753812,093_331,1.0
186.01631,75.33054,1224039+751950,093_331,1.0
184.97025,75.59494,121952+753541,093_331,1.0
186.5471,75.598175,1226114+753555,093_331,0.0416666666666667
185.0766,75.51672,122018+753100,093_331,1.0
185.01814,75.497536,122004+752951,093_331,0.708333333333333
185.74596,75.46503,122259+752751,093_331,0.958333333333333
186.67856,75.559525,1226429+753334,093_331,0.291666666666667
185.23831,75.74615,122057+754445,093_331,0.416666666666667
137.45096,70.1035,0909482+700613,094_320,0.875
182.05084,75.17882,1208122+751044,094_330,0.291666666666667
181.68687,75.10781,1206446+750629,094_330,0.291666666666667
181.63107,74.985214,1206314+745904,094_330,0.625
186.84134,75.31096,1227209+751839,094_331,0.666666666666667
188.15677,75.247444,1232373+751450,094_331,0.208333333333333
187.57079,75.36302,1230172+752147,094_331,0.125
188.23364,75.55655,1232558+753324,094_331,0.875
186.99908,75.503456,1227597+753013,094_331,0.958333333333333
141.61548,70.50543,d0926p70,095_321,0.708333333333333
145.14629,71.1826,HO1,095_322,0.541666666666667
184.26384,75.05569,121704+750321,095_330,0.875
183.90895,75.111946,121538+750643,095_330,1.0
182.84068,75.212975,1211217+751248,095_330,0.583333333333333
185.02567,75.11824,1220062+750706,096_330,1.0
185.15784,75.11831,122037+750705,096_330,0.75
185.48303,75.06759,122155+750402,096_330,0.875
192.04465,75.54459,1248107+753241,096_331,0.541666666666667
186.74232,75.015305,122658+750055,097_330,1.0
187.87593,75.011635,123130+750041,097_330,1.0
187.99857,74.87909,123159+745244,097_330,1.0
186.61267,75.09118,122627+750528,097_330,1.0
187.20956,74.75895,122850+744533,097_330,1.0
186.70624,75.07429,1226494+750428,097_330,0.583333333333333
187.09903,74.97806,122823+745840,097_330,1.0
187.17973,74.95687,1228430+745725,097_330,1.0
186.69029,75.184044,122645+751059,097_330,1.0
133.15988159179688,68.65194702148438,0852392+683914,098_317,0.0
143.51611,70.216415,d0934p70,098_320,0.166666666666667
189.24222,74.891396,123658+745328,098_330,0.916666666666667
116.993515,64.99239,0747583+645934,099_310,0.0833333333333333
135.3094,68.313286,0901143+681850,099_317,0.291666666666667
137.9055,69.12762,0911370+690743,099_318,0.0416666666666667
148.80685424804688,70.40704345703125,d0955p70,099_321,0.0
185.99729919433594,74.53345489501953,1224000+743200,099_329,0.0
185.50359,74.695915,1222006+744146,099_329,1.0
204.20978,76.17333,1336507+761026,099_332,0.583333333333333
125.27103424072266,66.3535385131836,0821048+662111,100_313,0.0
125.4178,66.393906,non_dwarf_7,100_313,0.0
125.541595,66.43114,non_dwarf_8,100_313,0.0
187.98233,74.60694,123155+743624,100_329,1.0
187.97603,74.66446,non_dwarf_15,100_329,0.0
187.26443,74.47762,non_dwarf_9,100_329,0.0
186.94269,74.58959,1227462+743523,100_329,1.0
187.3551,74.60673,non_dwarf_14,100_329,0.0
155.35309,71.114845,HS117,101_322,0.625
155.2663,70.997475,non_dwarf_1508,101_322,0.0
189.19933,74.2656,123647+741555,101_329,0.958333333333333
189.05078,74.29001,non_dwarf_23,101_329,0.0
189.23906,74.28247,1236572+741657,101_329,1.0
189.71217,74.31707,1238508+741902,101_329,1.0
189.52103,74.38114,1238050+742253,101_329,0.75
253.52542,78.70922,non_dwarf_25,101_337,0.0
254.17693,78.6384,1656425+783819,101_337,0.166666666666667
191.07617,74.29929,1244183+741758,102_329,1.0
190.6673,74.38975,non_dwarf_29,102_329,0.0
190.02188,74.72864,non_dwarf_1513,102_329,0.0
191.80534,74.623184,non_dwarf_28,102_329,0.0
191.80719,74.56268,non_dwarf_27,102_329,0.0
191.13591,74.35954,1244326+742135,102_329,1.0
191.15305,74.6667,non_dwarf_31,102_329,0.0
190.18665,74.62192,124044+743718,102_329,1.0
191.53938,74.58219,124609+743455,102_329,1.0
191.50664,74.59621,non_dwarf_30,102_329,0.0
187.43495,73.77952,non_dwarf_34,103_328,0.0
186.80925,74.08455,1227143+740505,103_328,1.0
187.5929,73.90565,123022+735419,103_328,1.0
187.19453,74.01455,non_dwarf_36,103_328,0.0
187.18275,74.05991,non_dwarf_33,103_328,0.0
187.61449,73.74972,non_dwarf_1515,103_328,0.0
187.73062,74.05022,non_dwarf_37,103_328,0.0
187.17924,74.131645,non_dwarf_38,103_328,0.0
186.88234,74.15766,non_dwarf_39,103_328,0.0
186.7225,74.21941,non_dwarf_40,103_328,0.0
186.98184,74.132324,non_dwarf_41,103_328,0.0
187.60538,74.014145,non_dwarf_1516,103_328,0.0
248.41293,78.1439,non_dwarf_46,103_336,0.0
248.91035,78.07419,non_dwarf_43,103_336,0.0
248.37491,78.09366,163329+780536,103_336,0.958333333333333
248.23659,78.2147,non_dwarf_44,103_336,0.0
248.35173,77.98958,non_dwarf_45,103_336,0.0
188.37973,74.03327,non_dwarf_48,104_328,0.0
189.3103,74.12152,non_dwarf_1520,104_328,0.0
188.42352,73.85555,non_dwarf_1522,104_328,0.0
189.54324340820312,74.03216552734375,123810+740157,104_328,0.0
188.51608,74.133224,non_dwarf_51,104_328,0.0
188.79013,73.99485,1235095+735942,104_328,1.0
188.80229,73.82603,1235126+734933,104_328,0.916666666666667
189.19293,73.81797,1236463+734905,104_328,0.125
188.83542,74.06037,non_dwarf_54,104_328,0.0
200.59901,74.910095,non_dwarf_57,104_330,0.0
200.16214,74.88522,non_dwarf_56,104_330,0.0
200.29483,74.86352,non_dwarf_55,104_330,0.0
200.52893,74.77781,1322073+744639,104_330,0.75
146.29091,68.76414,FM1,105_318,0.5
146.4839,68.83654,non_dwarf_58,105_318,0.0
146.57545,68.78038,non_dwarf_1525,105_318,0.0
157.39595,70.52911,non_dwarf_59,105_321,0.0
157.43643,70.609024,non_dwarf_61,105_321,0.0
157.6459,70.62112,ddo82,105_321,0.5
190.7402,74.16262,124257+740945,105_328,0.875
189.82991,74.0618,1239192+740344,105_328,1.0
190.96495,73.990875,non_dwarf_1527,105_328,0.0
190.7865,74.01539,non_dwarf_66,105_328,0.0
189.92548,73.98622,non_dwarf_65,105_328,0.0
191.2448,74.1973,non_dwarf_1528,105_328,0.0
189.8423,73.94575,non_dwarf_64,105_328,0.0
252.63562,78.04575,1650325+780244,105_336,0.5
252.78043,77.99253,non_dwarf_69,105_336,0.0
180.78043,72.90101,non_dwarf_1530,106_326,0.0
180.83524,72.82829,non_dwarf_70,106_326,0.0
180.6786,72.95123,non_dwarf_1532,106_326,0.0
180.82935,73.004425,1203189+730016,106_326,0.416666666666667
191.53694,74.04349,non_dwarf_1536,106_328,0.0
191.41455,74.110825,1245394+740639,106_328,1.0
191.34787,73.990524,non_dwarf_71,106_328,0.0
191.97028,74.23675,non_dwarf_1535,106_328,0.0
126.81352,64.87279,0827159+645226,107_310,0.458333333333333
126.7684,64.806564,non_dwarf_73,107_310,0.0
126.99794,64.788246,non_dwarf_72,107_310,0.0
106.25668,59.288094,non_dwarf_78,108_299,0.0
106.37538,59.374947,0705301+592229,108_299,0.375
106.58166,59.326294,non_dwarf_79,108_299,0.0
106.309746,59.536297,non_dwarf_1540,108_299,0.0
116.75334,62.377106,0747009+622237,108_305,0.958333333333333
157.16,70.21119,non_dwarf_83,108_320,0.0
157.1658,70.23327,d1028p70,108_320,0.875
149.2634,68.592064,095703+683533,109_317,0.583333333333333
149.09308,68.65426,non_dwarf_87,109_317,0.0
149.33035,68.600586,non_dwarf_86,109_317,0.0
149.22453,68.52861,non_dwarf_85,109_317,0.0
191.36284,73.51209,non_dwarf_1542,109_327,0.0
191.03702,73.44979,non_dwarf_89,109_327,0.0
191.0706,73.6036,1244170+733614,109_327,0.208333333333333
153.7316436767578,68.75749206542969,d1014p68,110_318,0.0
153.77827,69.03713,1015068+690215,110_318,0.541666666666667
153.71518,68.75241,non_dwarf_90,110_318,0.0
153.87222,69.070984,non_dwarf_91,110_318,0.0
153.69543,68.796906,non_dwarf_92,110_318,0.0
157.62929,69.53016,1030310+693149,110_319,0.75
157.31902,69.45294,non_dwarf_1544,110_319,0.0
160.32294,70.15222,d1041p70,110_320,0.541666666666667
160.46309,70.220436,non_dwarf_100,110_320,0.0
160.47078,70.0752,non_dwarf_99,110_320,0.0
160.22893,70.13967,non_dwarf_98,110_320,0.0
160.5019,70.10446,non_dwarf_96,110_320,0.0
160.35579,70.19087,non_dwarf_94,110_320,0.0
160.29007,70.125275,non_dwarf_97,110_320,0.0
152.06169,68.28002,non_dwarf_106,111_317,0.0
150.91264,68.705734,non_dwarf_102,111_317,0.0
151.32674,68.26097,non_dwarf_104,111_317,0.0
151.83495,68.27047,non_dwarf_105,111_317,0.0
150.83405,68.7335,NGC3077,111_317,0.5
151.65897,68.391396,non_dwarf_1546,111_317,0.0
150.97551,68.719215,non_dwarf_1547,111_317,0.0
151.17073,68.256325,100441+681523,111_317,0.791666666666667
152.01802,68.40209,IKN,111_317,0.0416666666666667
151.6907,68.37222,non_dwarf_101,111_317,0.0
151.76424,68.42992,non_dwarf_107,111_317,0.0
154.9677,69.18839,1019526+691119,111_318,0.958333333333333
127.63409,63.91438,0830321+635451,112_308,0.958333333333333
127.52699,63.74796,non_dwarf_109,112_308,0.0
197.76483,73.58465,non_dwarf_112,112_327,0.0
197.33195,73.596855,1309197+733550,112_327,0.416666666666667
108.08994,58.743755,non_dwarf_113,113_297,0.0
107.990326,58.67124,0711577+584016,113_297,0.875
192.97487,73.14918,non_dwarf_115,113_326,0.0
193.14403,73.13898,non_dwarf_1554,113_326,0.0
192.41609,73.17827,1249399+731044,113_326,0.75
109.28572,58.57988,non_dwarf_119,114_297,0.0
109.07999,58.504242,071619+583015,114_297,0.791666666666667
108.8205,58.5316,non_dwarf_120,114_297,0.0
128.04749,63.371037,non_dwarf_124,114_307,0.0
128.15924,63.48535,non_dwarf_122,114_307,0.0
127.929886,63.473476,0831432+632825,114_307,0.75
127.74588,63.44731,non_dwarf_127,114_307,0.0
157.19397,68.41779,non_dwarf_128,115_317,0.0
157.14563,68.42055,non_dwarf_129,115_317,0.0
157.1771,68.44903,IC2574,115_317,0.5
157.18356,68.43139,non_dwarf_1555,115_317,0.0
157.2522,68.465,non_dwarf_1556,115_317,0.0
157.16096,68.43383,non_dwarf_130,115_317,0.0
111.13251,58.242653,non_dwarf_131,116_297,0.0
110.705284,58.264793,non_dwarf_133,116_297,0.0
110.85345,58.292477,072324+581731,116_297,1.0
110.95504,58.24805,non_dwarf_132,116_297,0.0
110.85356,57.88382,072324+575258,117_296,1.0
110.19214,58.089725,non_dwarf_1558,117_296,0.0
110.55872,58.084396,072214+580503,117_296,0.958333333333333
110.65843,57.924477,non_dwarf_135,117_296,0.0
110.69388,58.01769,non_dwarf_136,117_296,0.0
110.85413,58.024464,072325+580127,117_296,0.833333333333333
110.43535,58.020367,072144+580113,117_296,0.916666666666667
110.34391,58.20457,072122+581216,117_296,0.958333333333333
110.57065,58.243046,non_dwarf_137,117_296,0.0
110.573364,57.761715,non_dwarf_138,117_296,0.0
110.164246,58.106335,non_dwarf_140,117_296,0.0
110.84554,58.159306,non_dwarf_141,117_296,0.0
110.68697,58.048073,072244+580253,117_296,0.916666666666667
119.25548,60.395164,075701+602342,117_301,0.958333333333333
119.2369,60.387672,non_dwarf_148,117_301,0.0
119.25101,60.382507,non_dwarf_147,117_301,0.0
119.17028,60.388885,non_dwarf_144,117_301,0.0
119.28138,60.359367,non_dwarf_142,117_301,0.0
119.2197,60.332153,non_dwarf_146,117_301,0.0
108.570366,57.05561,071416+570320,118_294,1.0
108.622375,57.118584,non_dwarf_149,118_294,0.0
110.93525,57.99846,non_dwarf_153,118_296,0.0
111.09994,58.0883,non_dwarf_150,118_296,0.0
111.36989,58.17754,072528+581038,118_296,0.875
111.23461,58.06548,072456+580355,118_296,0.541666666666667
111.24048,58.054256,072457+580315,118_296,0.916666666666667
111.59662,58.074387,non_dwarf_1561,118_296,0.0
111.58031,58.210747,non_dwarf_152,118_296,0.0
119.51365,60.439507,non_dwarf_1564,118_301,0.0
119.33333,60.36135,075720+602141,118_301,0.958333333333333
119.806725,60.307846,non_dwarf_156,118_301,0.0
191.58394,72.08243,non_dwarf_158,118_324,0.0
191.66258,72.11406,1246390+720651,118_324,0.958333333333333
191.57597,72.16415,non_dwarf_1566,118_324,0.0
109.05614,56.83973,071613+565024,119_294,1.0
109.46222,56.87448,non_dwarf_1568,119_294,0.0
109.07776,56.832836,071618+564957,119_294,0.916666666666667
109.39447,56.876995,non_dwarf_161,119_294,0.0
109.038155,56.881485,071609+565253,119_294,1.0
109.19511,56.803978,071646+564814,119_294,1.0
109.107796,56.844624,071625+565041,119_294,0.875
109.26906,56.776794,071704+564636,119_294,0.916666666666667
110.80552,57.686043,non_dwarf_163,119_295,0.0
111.012985,57.538113,non_dwarf_170,119_295,0.0
110.994316,57.7528,non_dwarf_169,119_295,0.0
110.81113,57.64109,non_dwarf_167,119_295,0.0
111.10989,57.63178,072426+573754,119_295,1.0
110.59835,57.733227,072223+574359,119_295,1.0
111.1013,57.699017,non_dwarf_1569,119_295,0.0
110.89095,57.593117,non_dwarf_1570,119_295,0.0
110.33329,57.75605,non_dwarf_1571,119_295,0.0
110.99095,57.509167,non_dwarf_165,119_295,0.0
109.112305,56.732197,071626+564355,120_293,1.0
111.59655,57.524677,non_dwarf_172,120_295,0.0
111.3218,57.51776,072517+573103,120_295,0.833333333333333
156.63782,67.65012,ddo78,120_315,0.583333333333333
156.71422,67.75014,non_dwarf_173,120_315,0.0
156.45856,67.71833,non_dwarf_1576,120_315,0.0
180.21082,70.75444,non_dwarf_175,120_321,0.0
180.45663,70.542206,non_dwarf_176,120_321,0.0
180.36752,70.73883,1201284+704423,120_321,0.541666666666667
179.99911,70.754,non_dwarf_177,120_321,0.0
184.62457,70.75371,121829+704512,120_322,1.0
184.28009,70.80285,non_dwarf_178,120_322,0.0
184.8879,70.754654,non_dwarf_179,120_322,0.0
184.51942,70.94806,121804+705653,120_322,0.958333333333333
151.28682,66.55761,kdg63,121_313,0.666666666666667
151.41595,66.48926,non_dwarf_182,121_313,0.0
193.0527,71.55558,non_dwarf_187,122_323,0.0
192.84413146972656,71.68766784667969,1251227+714120,122_323,0.0
184.47598,70.70456,121753+704216,123_321,1.0
184.88829,70.75468,non_dwarf_191,123_321,0.0
184.06906,70.64965,non_dwarf_1584,123_321,0.0
188.5164,70.83609,non_dwarf_192,123_322,0.0
189.02895,70.89728,non_dwarf_1586,123_322,0.0
189.24722,70.752975,non_dwarf_194,123_322,0.0
188.91032,70.807014,non_dwarf_193,123_322,0.0
188.99678,70.84853,1235593+705054,123_322,1.0
222.34563,73.75203,non_dwarf_196,123_328,0.0
222.7293,73.81139,1450552+734840,123_328,0.291666666666667
222.91928,73.90553,non_dwarf_1588,123_328,0.0
158.29974,67.204636,non_dwarf_198,124_314,0.0
158.24532,67.17792,1032592+671041,124_314,0.0416666666666667
158.08458,67.208305,non_dwarf_199,124_314,0.0
158.0521,67.19502,non_dwarf_1590,124_314,0.0
158.16423,67.10625,non_dwarf_1589,124_314,0.0
158.43439,67.19425,non_dwarf_197,124_314,0.0
119.729065,58.465935,non_dwarf_201,125_297,0.0
119.594986,58.35924,non_dwarf_200,125_297,0.0
119.57572,58.478043,0758180+582842,125_297,0.833333333333333
251.53708,75.65395,1646088+753914,126_331,0.583333333333333
153.68755,65.32894,1014450+651945,127_311,0.708333333333333
153.47552,65.42665,non_dwarf_206,127_311,0.0
153.70486,65.26948,non_dwarf_205,127_311,0.0
153.41829,65.27475,non_dwarf_203,127_311,0.0
153.5115,65.394066,non_dwarf_1595,127_311,0.0
153.51218,65.43491,non_dwarf_204,127_311,0.0
262.4702,75.87828,non_dwarf_209,127_332,0.0
261.89963,75.743355,non_dwarf_1596,127_332,0.0
261.88446,75.9038,non_dwarf_207,127_332,0.0
262.38647,75.74737,172932+754436,127_332,0.0833333333333333
261.62146,75.77474,non_dwarf_208,127_332,0.0
154.8448,65.64038,1019248+653819,128_311,0.0416666666666667
154.87947,65.70049,non_dwarf_212,128_311,0.0
183.26895,69.742805,non_dwarf_213,128_319,0.0
182.6284,69.4476,non_dwarf_1597,128_319,0.0
182.80974,69.65231,1211142+693908,128_319,1.0
124.82486,58.31375,MATLAS-357,130_297,0.375
124.60674,58.402874,non_dwarf_1598,130_297,0.0
124.68161,58.368153,non_dwarf_218,130_297,0.0
124.669014,58.264233,non_dwarf_215,130_297,0.0
124.70828,58.257126,non_dwarf_214,130_297,0.0
122.16672,57.35739,0808400+572127,131_295,0.625
121.97421,57.39433,non_dwarf_219,131_295,0.0
121.94741,57.410175,non_dwarf_220,131_295,0.0
124.02164,58.180786,MATLAS-345,131_296,1.0
123.28796,58.081074,non_dwarf_222,131_296,0.0
123.13838,58.114063,non_dwarf_223,131_296,0.0
123.167,58.15737,non_dwarf_1599,131_296,0.0
123.233826,58.12765,0812562+580740,131_296,0.916666666666667
125.29233,58.30249,non_dwarf_226,131_297,0.0
125.22919,58.276886,non_dwarf_225,131_297,0.0
125.07746,58.32565,MATLAS-360,131_297,1.0
182.26875,68.784805,120904+684705,131_318,0.791666666666667
182.61234,68.86766,1210269+685205,131_318,0.958333333333333
182.23987,68.80171,120857+684805,131_318,1.0
182.8345,68.771774,non_dwarf_1600,131_318,0.0
182.37044,68.85847,120928+685129,131_318,0.708333333333333
124.06175,58.07389,non_dwarf_240,132_296,0.0
124.17688,58.047546,non_dwarf_239,132_296,0.0
125.00623,57.96391,non_dwarf_237,132_296,0.0
124.55242,57.96947,MATLAS-351,132_296,0.916666666666667
124.40447,57.80165,non_dwarf_242,132_296,0.0
124.60878,57.794132,MATLAS-354,132_296,0.0833333333333333
124.84431,57.98627,MATLAS-358,132_296,0.75
124.83354,57.745415,non_dwarf_234,132_296,0.0
124.70667,57.988823,MATLAS-356,132_296,0.75
124.2207,58.048775,MATLAS-348,132_296,1.0
124.99878,58.12336,MATLAS-359,132_296,0.416666666666667
124.44361,58.148907,MATLAS-349,132_296,0.625
125.003944,57.901787,non_dwarf_236,132_296,0.0
124.13497,58.19088,MATLAS-347,132_296,1.0
124.60737,57.89378,non_dwarf_1603,132_296,0.0
124.57031,58.01898,MATLAS-353,132_296,0.125
124.89962,58.09179,non_dwarf_241,132_296,0.0
247.48958,74.29371,non_dwarf_1606,132_329,0.0
247.60214,74.28442,1630249+741705,132_329,0.25
247.17796,74.33398,non_dwarf_248,132_329,0.0
123.90942,57.25059,non_dwarf_252,133_295,0.0
124.03457,57.33722,non_dwarf_1608,133_295,0.0
124.23727,57.269386,non_dwarf_1609,133_295,0.0
124.09812,57.272633,MATLAS-346,133_295,0.541666666666667
124.16169,57.35681,non_dwarf_251,133_295,0.0
124.06259,57.280598,non_dwarf_1607,133_295,0.0
184.94908,68.84905,1219477+685057,133_318,0.375
190.2535,69.45984,non_dwarf_257,133_319,0.0
190.41135,69.42047,non_dwarf_256,133_319,0.0
190.32602,69.518425,non_dwarf_1611,133_319,0.0
190.36122,69.42673,1241268+692537,133_319,0.958333333333333
124.55677,57.38965,MATLAS-352,134_295,1.0
124.684784,57.267925,non_dwarf_261,134_295,0.0
124.801384,57.29242,non_dwarf_259,134_295,0.0
124.58363,57.250835,non_dwarf_258,134_295,0.0
124.74261,57.434757,non_dwarf_262,134_295,0.0
124.64132,57.318245,non_dwarf_1612,134_295,0.0
124.82718,57.306316,non_dwarf_1613,134_295,0.0
124.521576,57.4475,MATLAS-350,134_295,0.0416666666666667
124.66742,57.330524,MATLAS-355,134_295,0.583333333333333
158.0054,65.12605,1032013+650735,134_310,1.0
157.95099,65.060875,non_dwarf_265,134_310,0.0
158.16614,65.06781,non_dwarf_264,134_310,0.0
158.1094,65.03348,non_dwarf_263,134_310,0.0
157.95456,65.025635,non_dwarf_1614,134_310,0.0
182.99248,68.64713,non_dwarf_269,134_317,0.0
183.32182,68.64441,non_dwarf_270,134_317,0.0
182.23494,68.66779,non_dwarf_272,134_317,0.0
182.8841,68.754776,non_dwarf_1617,134_317,0.0
182.5408,68.71644,121009+684258,134_317,1.0
183.11766,68.734215,1212279+684404,134_317,1.0
182.4376,68.71191,non_dwarf_1616,134_317,0.0
182.95627,68.751,1211499+684505,134_317,0.0416666666666667
205.9975,70.98554,1343592+705908,134_322,0.708333333333333
205.9773,70.93606,non_dwarf_1618,134_322,0.0
216.78555,72.2465,1427084+721447,134_324,0.791666666666667
216.01617,72.15094,non_dwarf_275,134_324,0.0
217.30682,72.131226,non_dwarf_277,134_324,0.0
216.8233,72.25064,non_dwarf_276,134_324,0.0
217.15544,72.25701,non_dwarf_278,134_324,0.0
228.60205,72.99828,1514247+725953,134_326,0.833333333333333
228.48749,72.96811,non_dwarf_281,134_326,0.0
250.8033,74.542015,non_dwarf_1624,134_329,0.0
250.10528564453125,74.40218353271484,1640253+742409,134_329,0.0
250.28752,74.24243,non_dwarf_1622,134_329,0.0
251.22214,74.62632,non_dwarf_288,134_329,0.0
250.24568,74.59577,non_dwarf_286,134_329,0.0
250.84534,74.735016,1643226+744406,134_329,1.0
251.2144,74.65476,non_dwarf_284,134_329,0.0
250.13045,74.59675,non_dwarf_287,134_329,0.0
125.53778,57.445538,non_dwarf_291,135_295,0.0
125.55668,57.359623,non_dwarf_290,135_295,0.0
125.636185,57.325073,MATLAS-372,135_295,0.958333333333333
122.78998,56.29103,0811095+561724,136_293,0.625
122.8227,56.405136,non_dwarf_294,136_293,0.0
122.74,56.282,non_dwarf_1628,136_293,0.0
122.99793,56.32966,non_dwarf_295,136_293,0.0
214.76823,71.61984,non_dwarf_300,136_323,0.0
214.75436401367188,71.55805206298828,1419009+713330,136_323,0.0
214.86105,71.56443,non_dwarf_298,136_323,0.0
133.45558,58.944344,085349+585639,137_298,1.0
162.50725,64.76322,non_dwarf_301,137_310,0.0
162.40031,64.77535,1049367+644629,137_310,0.666666666666667
162.48572,64.78663,non_dwarf_302,137_310,0.0
182.78915,67.863464,non_dwarf_306,137_316,0.0
183.08498,67.85008,1212203+675101,137_316,0.916666666666667
183.04137,67.7426,non_dwarf_1630,137_316,0.0
183.3204,67.87721,non_dwarf_307,137_316,0.0
234.28291,73.16148,1537077+730942,137_326,0.416666666666667
233.87367,73.148285,non_dwarf_308,137_326,0.0
134.43852,59.03666,MATLAS-451,138_298,0.916666666666667
133.59473,58.96746,MATLAS-425,138_298,0.958333333333333
134.29062,59.155315,non_dwarf_1632,138_298,0.0
133.7141,58.9899,non_dwarf_1633,138_298,0.0
134.41762,59.04994,MATLAS-450,138_298,0.75
134.15051,59.123386,0856358+590726,138_298,0.833333333333333
134.43066,59.136322,non_dwarf_316,138_298,0.0
