known_id,ra,dec,tile,label
MATLAS-355,124.66742,57.330524,134_295,0.375
MATLAS-352,124.55677,57.38965,134_295,1
MATLAS-350,124.521576,57.4475,134_295,0.625
1343592+705908,205.9975,70.98554,134_322,0.916666666666667
121009+684258,182.5408,68.71644,134_317,1
1212279+684404,183.11766,68.734215,134_317,1
1211499+684505,182.95627,68.751,134_317,0.0416666666666666
1032013+650735,158.0054,65.12605,134_310,1
1427084+721447,216.78555,72.2465,134_324,0.833333333333333
1643226+744406,250.84534,74.735016,134_329,1
1514247+725953,228.60205,72.99828,134_326,1
1419009+713330,214.75436,71.55805,136_323,0.291666666666667
0811095+561724,122.78998,56.29103,136_293,0.791666666666667
MATLAS-372,125.636185,57.325073,135_295,1
085349+585639,133.45558,58.944344,137_298,1
1212203+675101,183.08498,67.85008,137_316,1
1537077+730942,234.28291,73.16148,137_326,0.791666666666667
1049367+644629,162.40031,64.77535,137_310,0.291666666666667
MATLAS-453,134.49303,59.092552,139_298,1
0953011+615523,148.25435,61.923557,139_304,0.708333333333333
MATLAS-430,133.76598,58.28867,140_297,1
0857060+583332,134.27586,58.558926,140_297,0.958333333333333
0855363+583419,133.9014,58.571793,140_297,1
085652+584021,134.21935,58.673164,140_297,0.958333333333333
085530+584116,133.8758,58.688023,140_297,1
MATLAS-425,133.59473,58.96746,138_298,1
MATLAS-451,134.43852,59.03666,138_298,1
MATLAS-450,134.41762,59.04994,138_298,0.958333333333333
0856358+590726,134.15051,59.123386,138_298,1
1725353+742743,261.3972,74.46209,140_329,0.833333333333333
0806481+543516,121.70105,54.587822,141_289,0.833333333333333
1427367+710100,216.90234,71.01632,141_322,0.583333333333333
1611314+725525,242.88118,72.923355,142_326,0.833333333333333
1042235+641153,160.59796,64.197975,141_308,0.958333333333333
0759392+524620,119.9142,52.77177,144_286,0.583333333333333
1535317+715000,233.88194,71.83331,145_324,0.916666666666667
1353361+694222,208.39946,69.70638,146_319,0.666666666666667
1044326+632146,161.13591,63.3627,144_307,1
104315+632252,160.8138,63.38095,144_307,1
0826464+552002,126.69396,55.3335,144_291,0.958333333333333
1522530+715952,230.72073,71.9972,143_324,0.0833333333333333
121913+663446,184.80826,66.57958,147_313,0.958333333333333
0841127+561303,130.30263,56.2174,146_292,0.25
1337428+690542,204.4295,69.094574,147_318,1
1046178+625733,161.57463,62.959324,147_306,1
1208054+655841,182.02303,65.977776,148_312,1
1030070+621310,157.52956,62.219364,148_304,0.958333333333333
094240+585446,145.6677,58.912872,150_298,0.833333333333333
094301+585825,145.7565,58.973595,150_298,1
MATLAS-556,145.51495,59.042877,150_298,1
1508050+704804,227.02155,70.80149,148_322,0.75
122005+655049,185.02138,65.84703,150_312,1
121840+655201,184.66997,65.86703,150_312,1
1216594+655843,184.24692,65.978035,150_312,1
1217546+660007,184.477,66.00184,150_312,1
121534+660758,183.89201,66.13303,150_312,1
0832245+541026,128.1019,54.174248,151_288,0.666666666666667
MATLAS-586,146.46124,58.99356,151_298,0.875
1013005+604418,153.25159,60.73819,151_301,0.958333333333333
1141584+644409,175.49344,64.735695,151_309,0.833333333333333
1207535+652826,181.97307,65.474014,151_311,1
120726+652444,181.85884,65.412384,151_311,1
120935+653542,182.39902,65.59514,151_311,1
MATLAS-548,145.2691,58.421795,152_297,0.916666666666667
MATLAS-565,145.84605,58.524952,152_297,1
MATLAS-540,145.00934,58.535034,152_297,1
1222577+654738,185.74086,65.79387,151_312,1
122057+655649,185.23915,65.94751,151_312,1
MATLAS-568,145.98322,58.688652,153_297,0.666666666666667
1203548+650338,180.97836,65.0603,153_310,1
120423+650349,181.09923,65.06373,153_310,1
120625+651021,181.607,65.172775,153_310,1
MATLAS-615,150.34012,59.40151,153_299,0.708333333333333
MATLAS-621,150.59595,59.742832,153_299,1
1220110+654130,185.0461,65.691734,153_311,1
121012+644538,182.55269,64.76091,154_310,1
120839+650053,182.16338,65.01497,154_310,1
122212+654257,185.55571,65.71574,154_311,1
1727342+730150,261.89328,73.030365,153_326,1
170306+722924,255.77687,72.490105,154_325,1
121223+650717,183.09908,65.12163,155_310,1
121224+651027,183.10136,65.173996,155_310,1
1212086+644700,183.0362,64.78328,155_310,1
1201416+643726,180.42325,64.62378,155_309,1
1227239+654125,186.84972,65.69046,155_311,1
1525456+702909,231.44096,70.48459,155_321,0.708333333333333
171330+722547,258.3777,72.42985,155_325,1
1712440+723155,258.1821,72.53201,155_325,0.791666666666667
0849193+540433,132.33011,54.075703,156_288,0.75
120654+644005,181.72801,64.66828,156_309,1
1204440+644417,181.18248,64.73801,156_309,0.625
1004155+590229,151.06473,59.041344,156_298,1
MATLAS-635,151.88731,58.99939,156_298,1
1246489+655124,191.70403,65.85768,156_312,0.833333333333333
1533527+701539,233.46948,70.260796,156_321,0.625
0805426+485147,121.42797,48.86309,159_278,0.958333333333333
1654084+720110,253.5358,72.01942,157_324,0.958333333333333
170130+715515,255.37614,71.921036,158_324,1
1704275+720918,256.1144,72.15517,158_324,1
0835352+514704,128.89697,51.784443,159_284,0.625
0854135+540652,133.55647,54.114437,157_288,0.875
1234048+645530,188.52005,64.92525,159_310,0.75
0853214+534044,133.33897,53.678814,159_287,0.958333333333333
1711073+714945,257.78055,71.828835,159_324,1
1710341+720230,257.64233,72.04147,159_324,1
171036+720410,257.65372,72.069664,159_324,1
170954+720450,257.47897,72.08111,159_324,1
1709412+721027,257.4231,72.174,159_324,0.875
1712128+721053,258.05246,72.18159,159_324,1
1553119+702853,238.30067,70.4811,159_321,0.625
0819451+495124,124.938225,49.856586,161_280,0.791666666666667
1222251+642846,185.6046,64.47926,160_309,0.958333333333333
1715465+715028,258.94308,71.84122,160_324,0.625
1514469+692706,228.69568,69.45169,160_319,0.833333333333333
1601044+703246,240.26851,70.54592,160_321,0.25
1556445+703647,239.18607,70.61253,160_321,0.75
1556355+704039,239.1487,70.6775,160_321,1
MATLAS-678,154.94461,58.634785,162_297,1
MATLAS-664,154.57115,58.732162,162_297,1
1019347+582842,154.89413,58.478806,162_297,0.875
MATLAS-676,154.9173,58.507164,162_297,0.125
0905069+530547,136.27884,53.096024,164_286,1
123004+642507,187.51904,64.41868,161_309,1
1230140+642816,187.5588,64.47107,161_309,0.75
0804430+465401,121.18003,46.899258,165_274,0.458333333333333
0856482+520040,134.20078,52.010708,165_284,1
1233350+634906,188.3957,63.8183,165_308,0.833333333333333
123221+635857,188.09155,63.982647,165_308,1
1230432+640107,187.68028,64.01852,165_308,1
1232365+641027,188.15268,64.17405,165_308,1
1231174+640727,187.82475,64.1241,165_308,0.916666666666667
1519491+685258,229.95491,68.88269,165_318,0.875
084238+501631,130.65854,50.275444,166_281,1
0858000+515037,134.49991,51.84338,166_284,0.5
NSA-78956,139.4441,53.293205,166_287,0.958333333333333
NSA-648311,139.19016,53.44287,166_287,0.958333333333333
1226120+634021,186.55005,63.67245,166_307,0.958333333333333
1235337+635811,188.89143,63.96953,166_308,0.875
084505+501516,131.2743,50.25436,167_281,1
084418+494717,131.07614,49.78815,168_280,1
084314+494850,130.81143,49.814323,168_280,0.875
MATLAS-407,130.92291,49.846107,168_280,0.833333333333333
084344+495309,130.93608,49.885624,168_280,1
084344+500413,130.93538,50.069824,168_280,1
0843066+500443,130.77837,50.078957,168_280,1
084406+500557,131.02481,50.099407,168_280,1
0731018+415007,112.75748,41.834538,168_264,1
1645536+703410,251.47362,70.569336,168_321,0.458333333333333
MATLAS-416,131.50809,49.93223,169_280,1
0847222+495956,131.84206,49.998608,169_280,0.958333333333333
084516+501248,131.3195,50.213615,169_280,0.958333333333333
MATLAS-414,131.30374,50.220776,169_280,0.916666666666667
0844422+500506,131.1755,50.084824,169_280,1
0753393+440551,118.41405,44.09731,170_268,0.958333333333333
0752468+441151,118.195274,44.197186,170_268,0.75
1717281+704653,259.36676,70.78079,169_322,0.791666666666667
091731+525934,139.3806,52.992516,168_286,0.958333333333333
LS-595052-1698,139.23901,53.010178,168_286,0.958333333333333
LS-595052-1940,139.42513,53.027046,168_286,0.916666666666667
091720+530605,139.3365,53.10016,168_286,0.791666666666667
0917499+530912,139.4579,53.15336,168_286,1
LS-595921-1395,139.30988,53.229713,168_286,1
0857504+510244,134.46033,51.045547,169_282,0.916666666666667
NSA-78947,139.49696,52.74261,170_285,0.958333333333333
1240079+633118,190.03322,63.521626,170_307,0.708333333333333
1242161+633120,190.56805,63.521698,170_307,0.625
1700256+701726,255.10637,70.29037,170_321,1
MATLAS-415,131.38815,49.253586,171_279,1
0832293+472853,128.12234,47.48122,173_275,0.958333333333333
091531+520243,138.8826,52.04547,171_284,1
091757+511807,139.49051,51.301952,174_283,1
0919255+514004,139.8557,51.66753,174_283,1
091616+513008,139.06776,51.50234,173_283,0.333333333333333
1731137+710817,262.80606,71.13833,171_322,0.958333333333333
1657280+700915,254.3669,70.15399,174_320,0.791666666666667
0746242+412701,116.60104,41.45021,175_263,0.916666666666667
0748000+413057,117.0003,41.51581,175_263,1
0740230+403255,115.094955,40.548138,175_261,1
1419398+661416,214.91438,66.23715,175_312,1
0905253+495345,136.35567,49.895683,175_280,0.833333333333333
091657+510328,139.23813,51.056103,175_282,1
0855086+490400,133.78604,49.066704,176_278,1
0917237+503338,139.34941,50.560604,177_281,0.958333333333333
0919417+505844,139.9239,50.97875,176_282,1
092416+513931,141.07054,51.658775,176_283,1
0926384+514423,141.66011,51.73938,176_283,1
0838084+470101,129.53531,47.016716,177_274,1
0923036+504936,140.76535,50.82658,177_282,1
0923090+505614,140.78714,50.936947,177_282,0.916666666666667
1317554+631814,199.48087,63.30378,178_307,0.958333333333333
0926392+504809,141.66281,50.80257,178_282,0.833333333333333
092034+504321,140.14352,50.723404,178_281,0.833333333333333
0900157+482758,135.06572,48.466515,179_277,0.916666666666667
0901379+482850,135.40782,48.480305,179_277,1
0915004+493018,138.75212,49.505154,180_279,0.5
091852+501116,139.71701,50.187527,180_280,1
0922515+503533,140.7153,50.59214,179_281,0.916666666666667
1342032+635239,205.51408,63.877438,180_308,0.541666666666667
0901297+474853,135.37376,47.814667,181_276,0.625
0756334+395538,119.13922,39.927116,183_260,0.958333333333333
0757448+400020,119.43724,40.005306,183_260,0.875
1734509+695504,263.71167,69.91768,180_320,0.916666666666667
1651593+685207,252.99829,68.868416,181_318,0.916666666666667
1741047+695214,265.26974,69.87048,181_320,1
1356532+640226,209.22209,64.04058,183_308,0.958333333333333
092206+493138,140.525,49.527588,183_279,0.958333333333333
1752485+700816,268.20264,70.13678,183_320,0.958333333333333
1423472+651134,215.9456,65.19216,183_310,0.583333333333333
0737552+363648,114.4802,36.61327,184_253,0.833333333333333
0759197+395827,119.83228,39.97408,184_260,1
0803006+402223,120.75244,40.372845,184_261,1
0830126+440456,127.553535,44.082516,184_268,0.75
0841325+441710,130.38548,44.286236,186_269,1
0802326+400606,120.635895,40.101585,185_260,0.916666666666667
092813+491601,142.05537,49.267136,185_279,0.916666666666667
0801083+394407,120.28431,39.73522,186_259,1
0927159+485813,141.81625,48.97022,186_278,0.875
092834+490549,142.14339,49.097046,186_278,1
1610584+672628,242.74373,67.440895,186_315,0.833333333333333
0925511+482101,141.46278,48.35032,187_277,0.25
0923051+482652,140.7708,48.44758,187_277,1
0832248+430044,128.10332,43.01247,187_266,0.833333333333333
0828251+422029,127.1044,42.34141,187_265,0.666666666666667
0917465+473210,139.44429,47.535717,188_275,1
0830134+422222,127.55571,42.372753,188_265,0.875
0758075+374455,119.53143,37.748566,190_255,0.0833333333333333
1639462+674748,249.94238,67.796745,187_316,0.916666666666667
092616+482335,141.56844,48.394924,188_277,1
1011061+512215,152.77591,51.36998,190_283,0.958333333333333
0811388+393153,122.911385,39.531258,190_259,0.333333333333333
1341215+621609,205.33972,62.269367,190_305,0.916666666666667
0908096+455438,137.0404,45.910564,190_272,0.833333333333333
1335310+615936,203.87932,61.993275,191_304,0.875
1802134+694408,270.55627,69.73574,190_319,1
0845447+425706,131.43637,42.95154,192_266,0.625
0831290+413029,127.87136,41.50903,192_263,0.875
0858543+443743,134.72623,44.628525,192_269,1
1053378+541309,163.40802,54.218952,192_288,1
1100000+542535,165.00279,54.42858,192_289,1
0912572+451504,138.23839,45.251,194_271,1
1109132+544709,167.30463,54.78575,192_290,0.875
1342537+614436,205.72437,61.74371,193_304,1
134323+620035,205.84802,62.00991,193_304,0.958333333333333
0834204+413710,128.5846,41.619247,193_263,0.916666666666667
0956051+494025,149.02136,49.673115,194_279,0.875
1044349+524806,161.14531,52.80154,194_286,0.916666666666667
1358214+623411,209.58875,62.569683,194_305,0.75
0932381+464808,143.1589,46.801907,195_274,0.791666666666667
dw1110p5429,167.64688,54.497314,195_289,0.75
1224517+582535,186.21507,58.426323,195_297,1
1328247+604829,202.10333,60.807785,196_302,0.875
134140+613852,205.41862,61.648045,196_303,1
134309+614331,205.7898,61.725536,196_303,0.958333333333333
0828114+393358,127.047386,39.566154,196_259,0.958333333333333
1116530+541941,169.22258,54.328384,197_289,0.541666666666667
0911281+443546,137.86684,44.595882,197_269,1
0843065+405158,130.77765,40.86601,197_262,0.916666666666667
1225094+575043,186.28885,57.845257,197_296,0.833333333333333
NSA-162577,123.243835,36.198273,199_252,0.916666666666667
1337081+605813,204.28365,60.970383,198_302,1
NSA-162596,123.65038,36.43368,199_253,1
134510+611534,206.29543,61.25947,197_303,1
MATLAS-1554,206.28474,61.43483,197_303,1
0824074+375115,126.03111,37.85436,199_256,0.833333333333333
1125255+542326,171.35657,54.390457,199_289,0.666666666666667
1342168+610102,205.5701,61.0171,199_302,0.875
1222324+572449,185.63539,57.413883,199_295,0.916666666666667
1507070+635227,226.7791,63.87395,199_308,0.583333333333333
MATLAS-1565,206.60707,60.74493,200_302,1
MATLAS-1567,206.66489,60.926163,200_302,0.625
134646+605912,206.6923,60.986794,200_302,1
134603+605958,206.51318,60.999516,200_302,0.666666666666667
MATLAS-1556,206.40033,61.093754,200_302,0.833333333333333
134554+610550,206.4754,61.09699,200_302,0.291666666666667
134331+611414,205.88014,61.2367,200_302,1
MATLAS-1559,206.50372,61.224247,200_302,0.458333333333333
0930382+452836,142.65923,45.476955,200_271,0.875
112316+534713,170.81718,53.78735,201_288,0.958333333333333
1114105+533604,168.54387,53.601303,201_287,0.708333333333333
134843+610029,207.18214,61.008266,201_302,1
MATLAS-1584,207.25224,60.783047,201_302,1
MATLAS-1577,207.05402,60.88494,201_302,0.416666666666667
MATLAS-1585,207.25835,60.923573,201_302,0.875
1350091+605701,207.5383,60.950245,201_302,0.958333333333333
MATLAS-1573,206.88953,60.955116,201_302,0.291666666666667
134822+605826,207.09547,60.974216,201_302,1
134931+610057,207.38257,61.016094,201_302,1
134833+610133,207.1405,61.026005,201_302,1
134856+610756,207.23691,61.132114,201_302,1
1347263+610829,206.85974,61.141335,201_302,1
1348056+611023,207.02315,61.17303,201_302,0.916666666666667
0826450+370937,126.68755,37.160465,202_254,0.875
0931347+450645,142.89447,45.11291,202_270,1
1339595+601958,204.99805,60.33259,202_301,1
1036544+503716,159.22685,50.62069,203_281,0.875
1256024+581609,194.00937,58.268955,203_297,1
1258013+581830,194.50557,58.308018,203_297,1
125426+582348,193.61194,58.39688,202_297,1
1332262+600717,203.10857,60.12108,203_300,0.791666666666667
1054048+511940,163.52039,51.327755,204_283,0.583333333333333
MATLAS-1561,206.51274,60.28356,203_301,1
1345531+603237,206.47206,60.54345,203_301,0.958333333333333
1346351+603233,206.64581,60.542545,203_301,0.916666666666667
1346223+603719,206.59335,60.621765,203_301,1
1343516+604119,205.96567,60.688187,203_301,1
MATLAS-1562,206.52621,60.70352,203_301,0.416666666666667
MATLAS-1553,206.28181,60.71158,203_301,0.875
MATLAS-1568,206.68503,60.679646,204_301,1
MATLAS-1569,206.6916,60.71457,204_301,1
MATLAS-1590,207.51817,60.382942,204_301,0.208333333333333
1744036+673416,266.0154,67.57093,204_315,0.916666666666667
1531074+640421,232.78214,64.07268,204_308,0.0833333333333333
0915362+421501,138.9015,42.250004,205_265,1
1051538+505810,162.9743,50.969353,205_282,1
112212+530755,170.55275,53.13184,205_286,1
1128430+533943,172.17986,53.661976,205_287,1
MATLAS-1618,208.13794,60.714935,205_301,0.875
